sleep,class,study,activity,happiness,performance
10,4,12,3,8,49
10,3,15,3,0,35
15,11,12,4,6,68
19,2,7,2,1,86
15,2,14,8,9,29
14,10,3,6,4,13
10,3,1,9,3,38
15,9,6,7,3,32
13,1,13,8,9,45
12,12,3,7,3,53
10,3,9,3,9,27
6,7,10,10,3,66
19,2,9,6,0,3
2,7,13,3,2,82
17,12,1,10,6,1
15,9,14,6,9,14
18,6,9,7,5,61
11,5,10,5,10,62
4,8,15,1,6,34
15,4,3,5,5,54
15,15,6,1,4,79
2,14,3,9,1,49
14,8,3,2,9,45
17,2,4,3,1,87
14,9,4,3,3,75
8,15,13,8,6,87
4,7,14,3,2,28
19,12,5,4,0,41
3,6,14,4,4,85
15,9,11,5,4,63
6,6,1,3,5,98
2,4,4,2,7,67
6,7,6,10,2,7
15,10,1,1,6,4
16,12,7,5,1,96
1,4,7,6,2,56
6,2,1,7,7,56
8,8,10,7,0,26
2,6,15,9,4,10
15,9,9,2,10,40
7,4,14,7,0,47
12,4,11,6,0,77
18,3,12,7,8,34
3,7,8,5,0,23
9,10,14,6,4,73
1,13,4,4,7,62
5,2,9,10,4,32
16,3,14,6,8,21
5,13,15,2,3,100
19,14,11,9,0,82
12,5,6,3,6,1
12,8,3,8,1,5
3,5,11,2,10,47
11,15,10,8,10,15
6,7,9,1,2,22
6,11,2,9,10,71
7,9,8,1,5,65
2,3,15,3,1,48
1,10,3,9,6,11
19,1,7,8,2,7
6,10,1,1,10,75
12,3,4,5,8,59
14,8,8,7,2,10
2,8,11,9,2,48
3,11,15,8,2,30
2,11,7,9,10,96
11,10,13,2,4,65
15,11,5,8,3,78
18,10,6,4,7,29
18,2,8,8,7,94
16,10,11,10,2,45
17,4,1,10,0,19
8,10,5,1,3,1
16,2,13,7,10,2
9,4,6,6,5,97
18,2,13,2,10,39
1,7,7,5,8,24
16,3,7,1,0,63
12,7,10,1,2,31
2,12,4,4,2,72
7,6,5,6,5,7
2,11,6,10,1,100
6,13,4,1,10,34
5,15,4,2,5,20
8,3,7,1,7,18
18,10,2,3,6,98
9,12,1,5,1,57
9,5,2,2,4,73
1,1,12,6,2,59
14,14,13,7,9,3
9,6,6,10,0,4
19,10,12,5,1,6
9,14,11,8,3,6
5,12,14,3,8,16
2,3,9,6,4,87
17,13,11,2,6,64
2,1,10,4,5,68
15,2,13,10,9,29
18,5,1,7,9,48
11,11,3,4,0,18
11,10,2,5,8,5
18,9,1,6,10,78
2,4,9,8,0,31
9,9,13,9,6,52
8,13,11,10,10,100
19,5,11,4,0,93
17,2,12,8,1,16
19,11,10,4,3,69
3,5,6,9,5,10
9,1,2,9,4,90
8,5,2,10,7,77
9,12,1,5,1,3
14,13,11,4,1,34
14,4,15,5,0,80
10,4,2,10,6,51
11,8,10,9,7,52
16,10,2,3,5,14
8,15,8,10,6,25
5,2,2,5,10,64
14,14,14,2,5,42
16,7,12,4,2,37
4,8,2,8,7,5
1,7,6,8,4,73
2,14,3,4,6,41
11,4,9,6,1,85
16,11,3,6,9,4
16,9,6,1,4,45
19,5,4,1,4,30
15,1,15,10,6,75
3,12,2,6,2,77
13,1,1,7,2,62
15,14,12,8,6,63
5,13,11,9,1,18
9,14,4,2,5,68
6,1,3,9,2,13
11,12,1,7,9,2
6,15,7,10,2,91
16,8,5,5,3,33
12,1,6,9,4,88
19,4,4,1,3,43
10,9,5,7,8,17
9,7,10,10,2,55
13,15,8,9,5,89
3,13,1,5,3,28
16,13,10,9,8,70
5,12,7,7,0,46
14,15,11,1,4,82
10,6,6,9,10,47
17,10,11,10,10,58
4,10,6,9,9,76
6,13,10,8,0,27
15,9,4,4,6,34
17,10,7,6,9,17
3,14,3,3,5,53
8,10,14,3,10,4
12,5,1,4,2,42
17,6,1,5,2,89
10,15,7,9,9,53
15,4,8,3,10,97
7,7,14,9,1,72
5,13,6,4,1,72
1,3,7,2,2,5
1,1,11,3,6,5
4,10,6,10,10,28
6,10,8,3,5,33
9,12,12,9,9,9
10,7,11,7,7,37
5,7,3,7,1,40
7,1,5,5,10,64
4,8,6,1,6,5
13,10,9,7,8,73
2,9,5,3,8,5
18,15,11,9,7,57
2,14,8,10,6,1
18,7,12,3,10,41
19,15,8,7,9,24
3,11,2,2,3,21
15,9,10,10,6,82
18,11,5,1,0,21
1,5,7,7,1,13
2,6,15,9,7,44
6,6,7,1,2,20
16,5,10,10,9,3
8,12,1,5,10,66
11,6,13,6,2,39
8,5,6,7,6,100
2,13,4,3,7,41
18,7,15,3,9,28
14,14,12,4,0,53
15,8,7,10,9,100
2,10,13,6,6,29
6,3,6,2,5,16
18,14,2,6,3,24
7,5,10,1,6,76
1,11,11,7,3,48
14,11,14,6,5,8
8,14,5,3,9,27
8,3,3,3,10,20
9,5,12,4,0,77
16,13,5,4,2,46
17,2,2,8,2,98
7,1,12,9,1,17
6,9,14,4,8,6
2,14,6,8,10,9
7,2,15,2,8,39
12,11,1,7,2,98
11,9,7,1,4,47
15,3,12,4,2,44
16,9,1,1,5,32
15,9,1,6,5,100
18,12,1,1,4,54
11,14,8,9,6,18
1,3,7,9,0,34
9,1,15,3,4,50
3,6,9,10,2,84
9,12,2,1,3,53
17,7,2,6,7,68
12,6,11,4,7,64
2,9,3,4,2,100
9,1,14,1,1,71
18,14,7,1,4,57
7,14,5,5,7,31
11,3,7,10,7,19
18,10,11,8,3,5
2,1,12,2,9,78
10,5,7,7,6,50
19,10,4,2,8,65
4,4,12,1,9,51
18,6,9,6,4,95
3,3,13,2,3,26
10,5,14,6,0,23
5,14,4,6,5,52
11,6,2,2,0,85
5,12,8,9,8,55
13,11,13,4,2,32
17,2,11,7,1,96
3,11,1,10,10,87
9,3,8,10,9,57
8,1,12,1,2,92
16,11,11,5,2,41
13,5,10,4,6,97
10,6,11,4,4,18
10,14,14,5,6,53
18,15,4,1,4,59
9,4,9,9,10,100
18,7,8,3,6,32
15,10,1,6,2,33
15,8,9,4,8,55
10,6,1,5,1,64
4,1,7,3,5,3
3,12,10,8,6,3
9,12,2,3,1,43
7,3,13,7,6,100
9,5,12,6,6,84
18,7,11,2,6,58
4,6,12,2,2,27
9,1,7,9,4,64
9,10,7,9,8,66
19,13,9,10,7,17
10,9,15,10,3,74
12,12,8,5,4,92
11,4,1,8,1,63
7,8,6,10,3,56
13,15,15,4,8,5
19,5,4,8,1,47
14,7,10,9,6,72
1,11,10,7,5,95
4,9,7,1,4,20
4,13,15,7,1,13
3,13,12,4,3,73
11,3,2,7,1,71
7,14,4,6,4,13
8,1,8,3,4,42
1,11,6,2,1,82
11,9,14,10,6,80
16,2,13,3,8,30
19,3,5,2,10,8
11,2,8,9,4,70
1,13,2,8,10,79
1,14,3,2,10,34
4,14,12,4,1,87
18,9,2,6,3,61
9,12,15,4,10,31
4,11,11,4,6,46
5,14,14,7,2,67
10,9,2,10,9,72
11,4,7,10,9,98
3,10,6,4,4,49
14,7,4,5,6,44
2,5,13,1,8,79
12,12,8,10,9,73
17,9,12,10,9,70
16,9,15,8,4,68
14,7,15,2,4,65
6,2,1,10,4,24
14,15,14,7,9,49
15,3,9,7,10,2
14,2,5,3,9,45
7,6,4,3,10,39
7,15,9,8,8,43
6,8,6,4,10,19
7,8,11,10,10,39
12,15,7,1,9,34
4,7,2,7,3,25
4,1,2,6,4,93
9,15,1,10,10,43
17,15,1,9,7,3
5,8,6,9,3,88
10,2,5,4,7,66
2,13,2,8,6,37
18,12,9,10,5,38
10,15,11,2,2,18
10,11,11,4,7,62
8,5,3,7,3,97
19,9,15,5,7,27
19,11,9,3,9,32
2,5,1,6,5,79
13,6,14,1,3,31
6,15,10,7,8,43
19,9,12,2,6,10
9,3,7,2,5,61
11,12,3,8,1,28
1,9,8,7,1,25
10,9,13,1,6,95
18,3,11,3,4,11
15,12,4,1,5,38
6,14,6,1,6,82
4,8,14,8,3,54
18,11,6,4,9,12
17,1,11,6,9,99
10,7,1,3,4,93
17,1,11,6,5,33
11,4,5,7,8,76
8,11,6,3,4,23
13,1,2,10,6,54
11,14,6,10,5,52
9,2,6,8,10,89
16,12,10,1,4,6
6,8,6,5,9,82
16,6,10,10,4,95
19,9,13,7,3,37
2,11,14,2,0,24
12,2,6,5,3,68
15,12,11,5,2,85
4,5,5,5,7,27
6,15,6,3,3,94
12,13,8,4,8,84
3,15,8,6,4,13
10,7,13,6,9,40
3,1,2,6,0,67
6,12,8,1,8,54
14,7,11,7,1,92
9,13,13,3,0,42
14,13,11,6,8,83
11,11,3,7,0,46
15,2,9,6,2,12
19,2,8,6,2,38
18,8,7,8,2,14
1,15,5,5,10,58
10,11,2,1,2,62
8,1,1,4,0,26
18,15,10,5,8,55
18,5,4,10,2,94
12,13,12,5,4,17
15,2,14,9,9,39
17,13,7,2,8,85
9,1,13,7,6,39
3,7,15,4,10,21
1,5,15,9,7,73
1,11,11,4,6,15
15,5,10,7,0,82
4,2,8,5,9,14
14,8,10,8,0,70
5,3,9,5,4,55
3,4,1,1,6,87
1,1,2,1,0,49
9,1,7,9,5,67
15,9,2,10,6,12
11,6,9,6,5,62
5,2,2,8,4,76
5,10,4,4,7,23
3,8,14,4,3,16
14,12,9,9,8,24
19,9,10,10,0,92
8,15,2,9,5,29
9,7,7,1,1,12
6,8,7,10,9,40
17,12,11,1,3,73
15,2,2,9,3,58
11,4,12,10,7,30
3,12,9,6,0,40
18,5,9,1,2,75
19,11,11,10,8,36
7,6,9,8,7,63
19,6,13,8,5,32
2,5,11,1,5,49
12,15,4,4,6,86
17,14,14,10,0,24
10,14,6,7,7,8
8,7,1,10,2,32
7,12,3,7,10,65
14,11,8,10,9,58
6,8,11,3,9,9
9,7,3,4,0,60
7,13,11,2,0,48
9,12,11,7,6,37
1,7,8,5,7,70
3,9,7,5,10,66
3,8,10,1,3,61
6,2,2,10,0,86
14,15,4,5,0,70
16,7,10,6,10,8
5,11,14,2,7,2
6,6,8,4,5,13
1,13,3,2,6,80
18,1,2,4,5,21
11,8,9,10,6,17
2,5,15,4,7,28
15,13,7,7,5,84
14,11,13,2,4,43
18,4,3,5,3,14
3,2,8,4,1,45
14,2,14,2,4,73
18,8,11,2,7,79
11,5,9,2,2,9
17,2,15,7,0,97
9,11,6,4,0,96
17,15,1,2,6,47
4,12,6,8,7,40
15,8,5,6,3,33
2,9,4,5,3,35
4,11,9,7,2,41
1,2,9,3,9,8
19,4,2,6,10,64
1,10,11,9,9,61
8,11,3,10,4,38
12,12,6,3,3,54
17,7,6,2,5,49
4,9,11,8,7,62
18,12,11,1,7,90
13,15,11,7,0,88
7,6,3,5,8,54
3,14,3,8,5,27
11,3,7,3,10,26
9,9,10,8,3,3
3,13,11,8,8,1
1,14,2,7,8,30
14,6,11,9,7,44
8,10,13,7,8,39
12,10,6,10,3,77
8,15,13,5,9,27
19,12,6,2,10,43
5,13,8,2,7,97
11,3,7,4,0,95
14,13,4,9,3,35
8,6,13,4,3,81
5,1,15,8,8,17
1,8,11,10,5,42
10,8,8,9,9,23
9,15,6,4,9,88
12,3,4,10,6,18
5,7,2,2,8,1
9,1,10,10,6,69
11,3,7,2,0,92
19,2,14,7,1,73
4,5,1,8,2,65
18,4,11,3,3,76
17,8,15,3,8,93
6,13,8,3,4,70
3,11,1,2,4,74
1,9,14,10,4,8
5,8,11,6,8,53
19,15,11,8,2,68
1,9,3,5,0,98
4,10,14,3,0,74
9,4,11,6,2,13
17,8,15,5,3,92
6,1,5,9,9,26
6,8,12,5,9,100
14,8,9,6,4,29
9,15,1,2,0,8
19,11,8,10,4,51
4,2,3,6,9,57
4,1,6,6,2,34
10,1,8,10,7,14
13,8,8,1,9,70
3,3,8,2,2,20
15,8,8,1,2,79
6,10,7,6,7,89
2,9,2,3,3,79
18,6,4,9,7,12
8,13,1,10,7,32
3,8,13,6,6,57
16,11,14,8,0,20
15,4,9,4,0,74
9,7,5,2,6,61
3,8,14,1,0,27
14,15,5,10,8,20
6,12,11,5,1,62
18,8,14,8,2,92
1,1,6,7,4,71
15,4,14,1,1,42
6,4,7,1,3,89
12,14,13,4,2,68
12,3,15,2,2,57
14,6,9,4,3,41
2,5,9,3,5,86
10,5,1,2,0,41
4,7,15,4,7,91
9,7,11,2,4,2
5,7,6,6,6,39
18,11,6,9,10,85
7,1,4,8,9,64
8,4,9,6,6,94
7,12,13,5,0,42
11,4,3,10,4,71
17,4,14,7,0,43
2,8,15,2,9,30
5,1,12,4,2,5
2,9,11,6,9,81
18,2,14,5,9,77
14,10,15,1,5,56
4,6,5,8,6,52
4,15,4,1,9,86
12,10,11,6,4,94
2,1,4,9,3,96
6,11,13,4,1,60
1,15,4,6,4,30
18,12,9,2,7,96
4,8,7,3,9,59
9,15,6,7,0,69
13,2,2,1,4,51
8,5,1,1,0,34
17,14,7,5,5,68
14,7,8,2,3,92
15,15,2,6,4,83
2,15,15,3,4,55
13,8,1,8,6,74
1,5,8,7,6,71
8,1,10,9,10,13
1,8,1,4,0,46
4,3,12,6,9,77
16,5,15,10,7,100
15,5,9,6,10,89
17,4,12,9,2,47
2,4,1,3,2,55
12,15,3,4,10,39
8,14,14,10,0,81
18,3,11,3,8,79
19,12,7,3,1,70
18,3,2,5,6,49
15,3,9,5,6,67
16,12,10,2,7,73
16,10,10,3,9,23
8,9,3,3,6,23
1,11,1,8,0,37
9,6,12,10,2,28
15,3,2,9,8,71
2,11,11,4,8,86
19,4,8,3,5,29
12,11,15,7,6,53
17,2,13,9,0,92
5,15,8,8,1,38
9,8,11,4,3,64
3,6,3,4,2,48
15,4,1,5,0,33
12,11,10,7,0,36
7,14,6,5,9,82
14,8,14,8,2,73
14,13,5,5,3,80
7,12,11,1,1,46
19,10,8,9,7,5
2,13,13,6,1,39
11,11,11,4,6,54
12,11,14,8,5,59
17,4,8,6,9,12
10,4,4,3,0,97
14,11,12,7,8,90
17,14,8,2,7,96
12,3,5,6,8,9
7,11,8,3,0,85
16,1,12,8,10,4
19,4,2,1,7,63
17,7,1,5,8,6
7,10,11,4,7,92
8,1,12,5,9,73
19,12,3,3,7,60
2,13,2,4,6,43
7,10,5,10,9,18
8,10,9,8,4,11
4,14,7,10,9,87
2,12,8,4,1,48
6,1,2,7,4,74
12,9,13,9,4,81
10,12,2,8,4,14
1,2,9,9,4,22
7,8,10,3,8,8
4,12,11,10,7,40
7,2,7,7,7,72
10,9,2,3,2,17
8,3,1,9,4,91
5,15,14,3,7,9
19,9,14,3,1,89
13,1,9,1,7,48
12,5,7,3,4,29
9,10,3,9,3,73
6,2,3,1,6,66
7,6,7,4,6,15
15,10,1,2,6,88
12,5,13,1,0,32
4,9,8,3,3,22
11,2,13,3,1,78
9,8,10,4,10,27
13,1,14,5,4,95
14,5,2,8,8,63
9,6,5,10,9,65
10,1,1,8,2,40
14,2,9,7,8,77
13,12,2,6,8,53
12,10,4,9,0,69
10,2,12,6,7,40
4,14,11,7,2,88
2,7,8,7,9,6
18,1,2,6,10,49
10,4,13,4,1,70
9,6,1,8,9,81
8,9,9,2,8,86
16,11,6,3,3,38
3,1,11,9,7,62
15,2,9,6,5,38
7,7,5,5,2,87
18,9,1,5,10,74
17,6,14,1,9,96
4,10,6,2,0,70
11,13,2,2,1,76
1,9,13,8,4,15
18,4,1,6,4,44
3,12,10,7,10,2
13,11,9,10,6,81
10,7,1,5,8,75
18,10,14,2,4,30
14,6,5,5,5,52
12,5,4,1,6,15
8,11,9,3,4,27
2,2,11,4,1,13
18,7,11,5,4,49
1,13,3,1,4,38
10,10,7,4,8,88
1,3,2,3,5,89
8,11,10,3,8,65
9,4,9,4,7,51
2,5,4,7,1,20
2,13,12,10,3,59
9,6,14,4,0,90
17,12,1,3,8,56
11,2,4,7,0,66
15,14,9,7,1,33
9,13,15,9,2,96
14,10,9,10,1,82
14,7,12,8,7,86
2,3,9,7,0,45
1,7,8,3,3,96
14,6,12,6,0,40
15,15,2,5,4,36
18,7,10,1,7,2
1,2,9,5,6,67
11,10,13,4,8,72
11,3,1,8,1,38
2,4,10,3,0,40
6,11,2,7,10,64
4,12,14,8,5,21
6,12,15,3,9,12
9,8,11,2,2,69
15,8,8,1,9,51
11,2,12,6,4,81
14,8,1,5,8,2
14,13,15,3,5,87
15,15,11,3,3,90
19,6,15,5,1,52
4,12,10,3,1,41
8,3,3,10,8,15
3,15,5,9,4,28
17,14,5,4,7,86
11,14,14,9,5,35
9,11,8,10,2,35
7,8,5,9,6,3
8,3,9,1,2,72
1,10,1,9,0,1
3,15,9,1,3,84
5,1,12,3,0,49
7,6,3,1,7,47
13,7,10,3,5,47
6,9,7,1,4,40
17,13,12,5,6,48
13,11,7,2,7,67
10,13,9,7,1,100
10,5,2,1,9,99
1,8,2,10,6,88
6,4,12,8,8,67
2,6,4,5,9,43
11,11,5,7,6,94
8,1,1,2,7,30
18,11,10,5,8,49
16,6,9,1,5,29
10,10,6,2,1,49
18,12,2,1,10,11
16,2,4,1,6,15
4,1,13,9,9,38
6,10,9,5,8,74
17,4,14,1,8,92
14,14,11,10,8,73
11,1,15,2,2,39
16,1,5,8,5,86
10,11,13,10,0,72
11,7,14,7,1,10
4,12,9,3,9,98
2,4,12,2,9,91
4,12,8,4,10,63
6,1,10,6,8,21
6,13,4,8,9,49
10,10,3,1,1,18
9,10,6,2,0,15
18,14,8,4,8,88
10,4,6,4,2,46
14,3,10,2,9,84
5,7,9,4,1,55
18,4,7,7,7,86
10,14,5,5,10,17
12,8,2,4,6,31
11,8,5,2,6,35
12,15,3,9,1,43
6,11,4,4,7,82
16,7,2,10,3,77
14,11,4,5,5,19
3,10,6,8,4,86
16,8,9,1,4,10
3,7,2,5,7,22
10,11,15,10,3,22
13,11,11,4,9,46
13,2,8,9,0,74
5,7,5,8,5,6
16,12,1,3,5,3
13,1,6,9,10,27
17,14,10,7,9,26
2,2,8,9,7,94
11,14,2,6,8,40
1,3,9,2,5,60
14,7,3,10,7,21
17,7,7,1,10,30
11,3,15,9,7,32
13,14,3,1,6,14
15,3,15,6,0,96
12,10,11,5,4,76
14,12,9,5,6,76
1,13,7,3,10,8
18,15,3,1,4,4
6,2,10,7,5,62
1,11,4,6,7,17
6,3,3,10,10,62
17,1,15,7,10,52
9,12,11,4,7,99
15,9,6,6,7,4
14,13,15,4,7,84
1,15,1,4,5,99
16,15,3,5,5,70
18,12,15,1,4,24
9,3,2,6,8,12
7,15,14,3,0,8
11,3,4,10,6,7
18,9,15,4,7,88
13,2,13,8,6,89
3,14,13,6,4,28
11,5,1,6,8,19
6,14,8,5,1,59
3,11,15,8,6,10
1,7,11,3,3,61
16,9,10,7,6,95
10,14,11,1,2,50
15,5,12,2,10,26
12,10,6,2,10,25
2,8,7,1,0,65
6,14,5,8,7,4
18,5,7,3,9,56
4,14,15,6,1,42
16,8,12,8,4,84
13,4,6,2,1,91
17,4,9,10,8,78
13,11,6,4,7,34
9,5,5,8,5,24
6,5,14,3,6,31
9,13,15,4,8,73
19,12,5,7,1,77
18,7,9,6,7,80
3,11,6,3,4,19
3,6,4,5,4,39
8,1,6,7,6,31
13,13,8,1,4,66
1,3,6,10,3,71
1,9,6,3,3,62
15,5,3,9,5,51
18,11,6,4,8,93
14,1,9,5,7,71
2,4,3,9,1,89
9,6,8,1,6,35
2,1,11,6,0,75
3,4,5,7,3,32
19,15,9,7,10,42
16,1,1,6,7,57
14,13,7,1,0,45
4,10,12,3,5,40
15,12,10,7,5,54
3,2,15,5,2,77
6,7,15,3,8,42
8,3,6,10,1,26
12,4,11,9,10,55
14,9,4,4,2,33
7,5,3,1,7,30
11,8,4,6,8,66
2,3,3,4,9,16
11,10,15,10,2,8
1,7,3,6,0,32
8,9,10,5,9,7
5,7,12,8,4,20
4,4,2,6,5,8
13,15,15,8,9,8
11,14,10,1,3,71
10,6,12,9,9,48
19,1,12,9,5,16
13,5,1,5,6,2
13,6,5,7,7,36
1,14,13,8,9,43
5,14,11,4,1,68
12,6,10,7,9,72
11,5,3,1,5,2
19,6,7,2,9,18
10,6,2,4,7,6
18,10,6,1,7,16
6,4,15,2,8,53
8,13,11,6,1,55
14,12,13,3,1,19
7,6,2,1,7,64
19,4,9,2,1,88
11,8,6,5,5,13
16,1,4,7,9,88
3,15,2,7,3,47
1,7,10,5,7,61
6,5,1,3,9,67
5,4,2,4,4,91
2,3,11,2,1,14
14,4,13,9,5,3
16,12,1,10,0,6
17,5,13,10,8,10
7,13,6,7,2,91
18,4,9,5,1,60
12,7,6,5,2,3
9,7,11,6,7,100
8,6,5,2,5,21
6,5,13,5,7,7
18,13,6,1,1,8
16,6,8,8,10,68
17,1,15,2,2,19
18,3,15,8,9,53
3,10,5,4,5,13
6,15,7,1,6,11
19,7,15,7,3,37
10,13,15,8,2,77
16,12,7,6,4,87
15,11,10,10,1,51
13,10,3,3,3,33
2,10,12,7,9,35
8,13,8,9,8,93
15,3,5,2,0,48
16,5,14,5,1,97
3,10,10,4,2,65
19,3,4,8,1,81
16,3,13,3,5,62
15,6,14,2,4,96
12,14,6,1,8,97
15,13,15,1,7,37
12,12,5,1,7,50
8,13,14,9,9,85
14,6,4,9,8,54
14,3,6,10,9,20
9,9,5,4,9,52
8,7,3,2,9,23
4,10,4,5,7,17
15,9,15,6,7,87
17,7,6,6,10,81
13,6,4,8,2,30
12,3,4,1,8,98
2,8,14,2,1,96
19,4,13,5,2,89
15,6,13,9,3,29
2,4,7,1,6,18
16,12,9,5,2,5
8,4,1,6,1,48
12,14,9,2,6,14
12,7,2,3,1,71
3,2,11,9,2,37
10,11,10,5,1,15
18,7,4,4,8,89
14,15,6,4,2,72
13,11,14,2,7,35
16,8,4,7,8,36
7,9,10,4,2,41
19,13,5,6,5,70
7,13,9,2,8,59
11,12,1,6,9,90
16,1,11,4,1,49
14,9,9,8,2,62
12,9,2,2,2,100
5,4,11,9,4,5
9,8,7,10,3,48
15,14,2,1,2,45
5,8,13,7,7,7
6,9,1,1,10,91
12,5,4,4,0,34
1,2,11,6,5,96
2,7,5,9,2,41
12,7,2,3,10,52
4,6,9,8,5,5
5,6,6,5,5,7
16,10,1,5,10,82
15,6,4,10,2,73
12,9,2,5,4,92
3,11,14,1,0,28
6,6,13,1,1,62
15,8,8,8,8,66
14,1,4,3,9,4
15,6,1,5,2,11
3,9,3,9,9,86
18,1,4,4,4,42
13,9,4,4,7,49
18,15,8,5,10,71
16,11,10,5,0,84
5,2,9,6,5,95
6,6,6,10,6,76
19,3,8,9,9,25
16,1,11,3,10,97
10,7,14,3,0,37
15,8,7,5,4,34
19,15,9,9,7,68
14,9,2,8,2,96
7,12,1,7,4,65
8,1,8,1,1,78
10,14,13,1,0,61
16,7,2,8,5,66
16,13,7,3,7,61
15,11,13,6,5,25
3,3,7,1,8,59
19,12,7,7,5,13
16,12,1,6,4,40
14,13,1,2,7,47
11,3,6,9,1,87
12,14,12,4,5,24
15,4,3,10,9,96
17,14,9,7,3,58
19,8,14,1,5,14
19,11,7,1,4,9
15,2,3,7,4,57
7,8,15,3,1,88
4,14,15,3,6,62
12,9,5,5,4,3
19,14,4,8,9,31
18,13,5,10,1,68
13,5,6,4,10,30
15,9,12,2,5,29
6,15,9,9,6,81
8,13,3,4,0,60
7,8,5,1,10,62
14,11,1,5,7,14
16,7,12,2,9,82
19,12,9,1,9,85
11,10,6,3,5,13
8,11,2,10,2,14
6,15,9,5,5,29
1,2,3,3,10,48
6,13,4,1,8,86
15,14,9,10,1,57
5,13,3,5,1,98
8,4,15,6,7,53
18,15,1,8,8,56
8,1,15,8,7,87
12,4,14,5,2,75
5,2,7,3,5,66
17,12,7,6,5,18
16,13,12,3,6,9
1,9,8,8,9,67
11,9,1,3,1,1
9,8,1,1,4,91
5,14,9,2,3,86
3,7,13,5,9,36
14,15,8,7,5,71
12,4,12,10,7,94
1,1,5,9,8,24
16,11,7,9,10,52
18,2,8,9,5,99
15,4,11,2,5,21
8,15,8,9,6,77
4,15,1,9,3,74
7,11,3,5,2,81
3,5,13,2,0,48
3,9,7,2,9,11
6,12,12,7,10,25
6,4,9,1,3,84
11,1,12,5,10,84
6,5,5,7,8,74
15,3,14,10,0,15
10,7,2,2,6,52
3,6,11,10,9,68
5,13,6,2,10,36
15,3,10,10,7,37
11,10,14,1,4,97
16,2,7,6,4,3
14,10,4,10,10,48
4,3,5,6,9,42
7,5,1,1,4,77
3,10,5,4,6,100
2,3,9,9,1,88
15,3,1,7,2,99
17,1,8,1,9,15
7,7,8,4,5,77
13,7,8,9,1,14
4,7,3,4,4,6
16,5,6,10,7,56
19,7,12,4,10,26
7,8,5,4,7,75
13,3,15,6,2,12
6,13,14,3,0,56
16,7,15,1,9,4
18,14,3,3,9,45
18,1,13,10,0,1
11,8,12,1,6,53
13,3,9,10,5,15
17,9,10,9,6,2
5,15,14,2,2,35
9,10,13,6,7,66
6,12,10,9,6,95
10,1,14,6,6,22
4,1,1,2,1,56
4,6,5,5,3,74
